age,months_since_joined,join_month,visits_per_week,payment_delay_days,churned
42,4.8,10,1.2,15,1
20,9.2,8,3.7,14,0
32,10.5,6,2.3,14,0
72,3.5,11,0.2,14,1
42,12.5,8,0.2,15,1
42,9.5,8,2.1,15,0
72,9.5,8,1.2,15,1
32,9.2,7,3.4,14,0
21,10.2,8,1.7,14,1
22,14.5,6,1.2,12,0
42,7.0,8,1.2,21,1
42,10.5,8,1.2,15,1
35,6.7,2,1.3,12,1
32,9.5,8,2.1,15,0
42,6.5,10,1.2,15,1
62,14.0,8,2.1,10,0
20,10.8,9,1.2,14,1
32,6.8,10,0.14,15,0
35,14.5,8,2.3,15,0
32,12.5,8,1.2,15,1
32,4.2,8,1.5,12,1
32,12.3,8,4.2,14,0
42,2.5,8,1.8,14,0
32,9.5,8,1.2,15,0
62,15.4,8,1.2,12,1
20,5.4,6,1.2,15,1
62,8.5,10,1.2,14,1
42,10.0,8,1.2,15,1
20,9.3,8,2.1,14,1
20,14.5,8,1.2,15,1
42,8.5,10,1.2,15,1
37,10.5,8,1.2,15,1
20,9.5,8,3.2,14,0
35,12.8,6,1.2,14,0
32,10.3,9,1.2,15,1
32,9.2,6,1.3,14,1
20,12.5,3,1.2,15,0
32,12.0,3,1.2,15,1
42,1.5,8,0.3,15,1
22,9.2,8,1.4,12,1
32,2.5,9,1.2,14,1
20,7.3,8,1.2,14,1
32,8.5,6,1.2,14,1
32,12.8,9,1.2,10,0
37,4.2,9,1.8,5,0
68,3.2,8,0.45,12,1
32,6.8,9,1.2,14,0
37,8.5,9,2.3,15,0
42,9.5,8,1.2,20,1
42,10.0,6,1.5,15,1
37,8.2,10,1.5,18,1
42,9.75,5,1.25,15,0
20,9.0,12,1.8,15,1
20,9.5,8,0.25,14,1
20,9.5,8,2.1,15,0
42,4.2,10,1.5,15,0
37,10.2,8,1.3,12,1
32,12.5,8,1.2,10,0
42,12.5,9,1.2,10,1
32,15.7,8,1.3,12,1
42,10.3,9,1.2,15,1
32,3.7,10,1.2,15,1
32,9.5,8,1.2,15,1
35,10.5,3,2.1,8,0
32,8.5,9,1.2,15,0
62,6.8,4,1.3,15,0
67,9.5,12,1.2,10,0
41,12.5,3,1.2,10,1
35,12.5,6,1.2,15,1
42,9.1,8,2.3,15,1
41,10.4,6,1.3,14,1
38,9.5,8,1.2,12,1
35,10.5,8,1.2,15,1
20,5.4,8,0.1,15,1
42,10.5,3,1.2,14,0
35,12.5,8,2.1,10,0
20,10.5,8,1.2,14,1
32,9.5,8,1.2,15,1
42,12.5,8,1.3,15,1
32,8.4,10,1.2,15,1
42,1.8,12,0.2,15,1
32,10.5,8,1.2,15,0
32,6.2,8,1.4,15,1
32,9.5,10,1.2,15,1
42,9.236842105263158,4,1.4117647058823537,15,0
42,15.0,8,0.2,14,1
62,12.0,6,3.5,15,0
62,6.2,10,1.4,5,0
21,3.2,9,1.2,10,0
42,12.5,6,1.3,15,1
42,3.0,12,1.2,14,1
42,12.5,9,2.8,15,0
42,11.5,6,1.8,10,0
21,2.5,11,1.8,15,1
22,9.5,8,3.7,15,0
42,10.5,8,1.2,15,0
32,18.0,8,2.1,15,1
62,12.5,6,1.2,10,1
32,9.5,6,1.2,15,1
20,9.5,6,1.2,15,1
41,3.5,9,1.2,10,1
32,6.5,9,1.4,15,0
20,1.5,12,2.3,10,0
32,1.8,10,0.2,14,1
42,12.5,9,1.2,15,1
39,6.5,8,1.2,15,1
63,12.5,8,4.2,10,0
35,1.8,11,0.2,13,1
62,3.4,8,1.2,14,1
42,9.5,8,2.1,14,0
42,3.2,10,1.4,15,1
20,8.5,10,2.1,12,0
42,9.5,10,1.2,15,1
32,14.2,8,1.3,11,1
32,9.5,8,1.3,15,1
62,9.5,2,1.3,10,1
35,10.0,8,1.2,15,1
20,3.5,6,1.2,14,0
39,9.2,8,1.3,14,1
42,6.2,9,1.4,14,1
32,7.4,9,1.2,15,0
37,7.3,8,1.2,14,1
42,9.5,8,2.7,14,0
43,10.2,8,1.4,15,1
42,12.5,9,1.2,15,0
41,7.4,9,1.3,15,0
42,2.5,9,1.8,12,0
42,9.5,6,1.2,15,1
20,9.7,2,1.3,10,0
67,9.5,6,1.2,14,1
20,9.5,8,1.2,12,1
42,2.5,8,1.3,15,1
32,10.5,9,2.1,12,1
42,4.2,6,1.8,14,0
72,18.0,6,1.2,14,1
37,12.5,6,1.2,15,1
42,12.2,8,1.9,10,1
32,9.4,6,1.3,11,0
41,9.5,6,0.2,14,1
42,12.5,3,0.2,15,1
35,12.5,6,2.1,15,1
32,9.5,8,2.1,15,0
38,11.3,2,0.14,21,1
42,12.5,6,3.2,10,1
32,9.4,8,1.3,14,1
32,15.4,10,1.2,21,1
38,15.1,8,2.3,10,0
32,10.0,6,1.5,15,0
35,9.2,6,1.5,14,1
22,9.0,3,1.2,14,1
42,10.5,6,1.2,15,1
42,9.5,8,1.3,14,0
38,15.4,8,1.3,14,1
42,6.2,9,1.4,12,1
42,8.5,6,2.7,10,0
38,9.2,6,1.3,14,1
20,10.5,8,0.1,15,1
62,9.3,10,1.4,15,1
42,6.8,12,1.3,14,1
32,9.2,6,1.4,11,0
42,9.5,8,2.3,10,0
35,9.5,12,1.8,15,1
22,7.5,9,1.2,15,0
20,6.3,10,0.2,20,1
63,12.5,8,1.2,15,1
32,6.4,3,1.2,14,1
38,6.5,8,1.2,15,1
42,9.5,10,1.2,12,0
42,6.8,10,1.2,15,0
42,12.5,9,1.2,15,1
62,1.8,12,0.3,15,1
22,9.0,5,1.2,15,1
72,2.5,10,0.3,15,1
39,13.7,9,1.4,12,1
