member_id,age,months_since_joined,join_month,visits_per_week,payment_delay_days
1,23,35.7,10,3.7,1
2,44,20.3,12,1.5,0
3,41,16.2,3,2.2,0
4,28,4.6,1,2.1,0
5,31,7.9,2,1.3,0
6,43,13.4,9,1.7,0
7,59,17.6,10,3.0,3
8,19,4.6,3,2.2,14
9,46,8.7,12,2.1,0
10,35,5.9,3,3.1,2
11,66,17.7,8,0.3,2
12,58,17.9,2,2.2,0
13,49,35.9,9,2.6,0
14,40,3.1,1,2.8,1
15,33,5.6,7,2.5,2
16,47,7.6,4,2.4,0
17,36,7.8,8,1.4,14
18,26,29.8,11,3.0,0
19,18,28.4,4,3.2,1
20,31,11.3,12,2.8,5
21,27,7.0,6,0.9,0
22,30,1.8,5,0.8,14
23,43,20.0,2,2.6,0
24,24,6.2,1,2.7,0
25,34,1.7,1,2.1,0
26,35,16.5,10,3.2,0
27,33,1.3,1,0.1,10
28,33,5.9,8,1.5,1
29,27,5.0,7,1.9,7
30,26,17.7,7,2.3,2
31,36,12.8,6,0.7,3
32,45,31.6,1,3.8,0
33,42,8.8,2,2.2,3
34,38,6.2,8,1.4,3
35,39,4.6,11,2.5,0
36,55,19.1,6,0.7,0
37,24,3.1,5,0.9,7
38,19,17.5,10,2.5,2
39,60,9.5,1,1.9,1
40,35,31.1,7,2.8,0
41,53,1.3,12,1.0,14
42,28,3.8,5,1.2,30
43,42,13.5,4,2.6,0
44,47,5.0,5,1.2,2
45,40,6.9,7,2.3,0
46,25,32.5,11,1.1,10
47,57,19.0,8,2.9,1
48,38,4.3,4,3.4,1
49,49,4.4,5,1.7,7
50,31,34.3,7,2.9,1
51,36,16.2,7,1.8,0
52,25,28.6,1,3.2,0
53,39,11.6,7,1.5,0
54,39,3.6,9,0.9,21
55,33,4.1,1,0.1,2
56,42,7.8,9,1.9,0
57,31,19.1,2,2.2,2
58,24,5.5,1,1.4,0
59,29,7.5,7,1.7,1
60,41,5.9,9,1.1,14
61,25,17.8,7,2.2,0
62,35,5.2,7,0.9,10
63,22,27.8,1,2.5,3
64,28,2.6,7,1.2,1
65,59,29.0,6,1.1,0
66,59,31.8,1,1.8,0
67,34,29.0,9,2.3,0
68,33,1.8,2,1.2,1
69,32,35.5,6,3.3,7
70,35,5.6,6,1.4,1
71,25,0.7,8,1.3,10
72,45,1.7,10,1.0,0
73,39,15.1,9,0.1,2
74,55,3.6,2,1.3,10
75,61,32.7,2,2.0,1
76,44,1.5,5,1.2,0
77,38,13.3,4,1.4,1
78,54,20.3,8,2.6,0
79,33,3.3,7,1.5,10
80,26,9.0,6,2.2,0
81,37,15.3,7,2.8,0
82,42,17.3,5,1.7,0
83,20,13.1,10,2.3,1
84,38,36.0,9,3.3,1
85,28,18.1,9,1.3,10
86,36,17.2,12,2.1,2
87,41,3.4,8,1.7,7
88,53,7.5,8,2.5,5
89,33,1.0,9,1.1,3
90,47,32.4,7,4.0,5
91,58,6.2,12,1.9,5
92,34,32.6,5,1.3,14
93,59,3.5,4,0.3,7
94,44,6.6,1,2.2,5
95,43,4.3,12,0.4,0
96,46,7.3,1,2.1,0
97,33,2.3,11,2.5,5
98,65,14.2,4,1.3,0
99,28,12.6,12,2.9,3
100,46,7.3,2,2.8,7
