age,months_since_joined,join_month,visits_per_week,payment_delay_days,churned
18,10.3,10,1.4,4,1
54,20.2,8,0.8,12,1
49,19.6,8,1.1,19,1
20,15.8,12,0.3,27,1
66,13.0,4,2.6,0,0
29,19.7,7,1.0,6,1
31,14.1,1,1.6,19,0
27,28.2,4,1.2,22,0
35,5.9,9,1.0,22,0
27,26.1,1,3.7,26,0
36,7.9,7,3.9,0,0
61,33.6,8,3.0,15,0
41,14.2,2,3.7,16,0
66,12.0,6,0.9,8,1
41,32.5,1,0.0,29,0
32,2.2,12,1.3,23,1
59,35.2,12,0.7,24,1
61,33.5,8,0.6,27,1
63,24.1,2,3.9,24,0
65,20.7,8,0.7,0,0
19,19.1,10,1.4,5,0
45,3.5,8,0.1,21,0
32,3.7,10,2.8,18,0
30,25.0,7,2.0,14,0
30,34.5,11,0.5,19,0
61,18.6,5,1.1,17,1
59,0.5,12,0.2,18,1
29,29.9,6,3.9,26,0
39,30.0,12,1.2,5,0
57,12.4,9,0.3,1,1
25,24.6,5,3.5,30,0
51,5.5,3,2.2,4,1
41,6.3,11,2.3,0,0
67,25.8,3,1.5,16,0
57,18.6,12,2.6,0,0
30,21.4,11,1.2,14,1
62,19.1,8,2.4,28,0
60,33.9,9,1.0,9,0
29,28.5,7,1.7,9,0
45,32.4,11,1.0,10,1
60,10.9,2,3.7,4,0
30,35.3,5,1.9,11,0
30,29.6,5,2.4,19,0
26,4.0,7,2.4,8,0
18,3.6,7,3.5,26,0
44,7.3,8,2.0,7,0
18,12.4,4,3.8,6,0
48,8.3,11,3.2,18,0
40,2.3,4,3.6,29,0
27,16.3,11,2.3,16,0
37,9.8,2,1.2,19,1
18,16.9,4,0.7,28,1
25,28.3,9,2.7,15,0
42,11.9,12,0.2,0,0
22,1.9,3,2.3,22,1
56,30.1,5,1.7,8,1
31,17.9,12,0.8,30,0
66,9.2,8,3.5,8,0
26,33.5,8,1.1,27,0
51,26.6,12,0.4,20,1
45,15.5,12,1.1,3,0
66,12.8,5,1.8,16,0
50,3.0,7,2.3,5,1
63,10.6,8,3.8,25,0
